epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,333.288,1.17611,3.22976,1.42286,0.9732,0.19779,0.59881,0.47351,1.05345,3.43818,1.14352,0.000272618,0.000272618,0.000272618
2,639.39,1.23291,2.03347,1.3938,0.55281,0.55551,0.58667,0.39501,1.34667,2.63292,1.25825,0.000532125,0.000532125,0.000532125
3,910.697,1.22899,1.90324,1.38155,0.66438,0.61256,0.62657,0.42515,1.51698,2.45907,1.42601,0.000773307,0.000773307,0.000773307
4,1224.07,1.25257,1.76156,1.41722,0.75443,0.51342,0.64136,0.39186,1.28798,3.44325,1.36219,0.000750533,0.000750533,0.000750533
5,1537.2,1.21321,1.74929,1.38914,0.86326,0.5441,0.70601,0.48347,1.25919,2.10215,1.32732,0.000723044,0.000723044,0.000723044
6,1842.08,1.19349,1.60291,1.35473,0.62744,0.71797,0.75718,0.53878,1.1608,1.75332,1.24721,0.000695555,0.000695555,0.000695555
7,2146.15,1.2,1.55581,1.37361,0.76036,0.75952,0.79405,0.56352,1.22099,1.80181,1.35639,0.000668066,0.000668066,0.000668066
8,2453.15,1.16932,1.48799,1.3462,0.81948,0.71492,0.76917,0.57284,1.19368,2.13393,1.23576,0.000640577,0.000640577,0.000640577
9,2744.81,1.09669,1.41541,1.30552,0.73195,0.70608,0.78674,0.56103,1.18005,1.68734,1.24005,0.000613088,0.000613088,0.000613088
10,3013.14,1.05311,1.3156,1.28208,0.77787,0.66905,0.76012,0.52932,1.15479,1.62732,1.26188,0.000585599,0.000585599,0.000585599
11,3281.6,1.04883,1.2645,1.27657,0.77367,0.8006,0.82664,0.60433,1.0422,1.44229,1.19209,0.00055811,0.00055811,0.00055811
12,3548.67,1.03542,1.24181,1.27003,0.84914,0.76386,0.84292,0.62593,1.10208,1.43237,1.24734,0.000530621,0.000530621,0.000530621
13,3815.96,1.00621,1.17272,1.26129,0.86262,0.79286,0.86819,0.67036,0.9665,1.26165,1.14103,0.000503132,0.000503132,0.000503132
14,4090.42,0.98385,1.12175,1.23485,0.83562,0.77956,0.83225,0.61231,1.08948,1.37704,1.22285,0.000475643,0.000475643,0.000475643
15,4354.41,0.96878,1.11306,1.2287,0.89247,0.7413,0.83045,0.6482,1.01648,1.35042,1.13184,0.000448154,0.000448154,0.000448154
16,4621.8,0.97079,1.11084,1.22302,0.88735,0.7138,0.81758,0.5953,1.02565,1.39277,1.2045,0.000420665,0.000420665,0.000420665
17,4890.83,0.95847,1.07206,1.22464,0.80776,0.78689,0.82979,0.63763,0.91674,1.2666,1.10184,0.000393176,0.000393176,0.000393176
18,5157.73,0.93294,1.02892,1.19907,0.90999,0.79548,0.8884,0.67792,0.91795,1.06123,1.10038,0.000365687,0.000365687,0.000365687
19,5450.12,0.92672,0.97838,1.20282,0.95231,0.78377,0.87475,0.66318,0.98168,1.18657,1.13194,0.000338198,0.000338198,0.000338198
