epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,290.407,1.17611,3.22976,1.42286,0.9732,0.19779,0.59881,0.47351,1.05345,3.43818,1.14352,0.000272618,0.000272618,0.000272618
2,597.398,1.23291,2.03347,1.3938,0.55281,0.55551,0.58667,0.39501,1.34667,2.63292,1.25825,0.000532125,0.000532125,0.000532125
3,911.768,1.22899,1.90324,1.38155,0.66438,0.61256,0.62657,0.42515,1.51698,2.45907,1.42601,0.000773307,0.000773307,0.000773307
4,1207.16,1.25257,1.76156,1.41722,0.75443,0.51342,0.64136,0.39186,1.28798,3.44325,1.36219,0.000750533,0.000750533,0.000750533
5,1482.7,1.21321,1.74929,1.38914,0.86326,0.5441,0.70601,0.48347,1.25919,2.10215,1.32732,0.000723044,0.000723044,0.000723044
6,1755.32,1.19349,1.60291,1.35473,0.62744,0.71797,0.75718,0.53878,1.1608,1.75332,1.24721,0.000695555,0.000695555,0.000695555
7,2007.51,1.2,1.55581,1.37361,0.76036,0.75952,0.79405,0.56352,1.22099,1.80181,1.35639,0.000668066,0.000668066,0.000668066
8,2261.38,1.16932,1.48799,1.3462,0.81948,0.71492,0.76917,0.57284,1.19368,2.13393,1.23576,0.000640577,0.000640577,0.000640577
9,2513.46,1.09669,1.41541,1.30552,0.73195,0.70608,0.78674,0.56103,1.18005,1.68734,1.24005,0.000613088,0.000613088,0.000613088
10,2807.61,1.05311,1.3156,1.28208,0.77787,0.66905,0.76012,0.52932,1.15479,1.62732,1.26188,0.000585599,0.000585599,0.000585599
11,3082.04,1.04883,1.2645,1.27657,0.77367,0.8006,0.82664,0.60433,1.0422,1.44229,1.19209,0.00055811,0.00055811,0.00055811
12,3359.62,1.03542,1.24181,1.27003,0.84914,0.76386,0.84292,0.62593,1.10208,1.43237,1.24734,0.000530621,0.000530621,0.000530621
13,3633.34,1.00621,1.17272,1.26129,0.86262,0.79286,0.86819,0.67036,0.9665,1.26165,1.14103,0.000503132,0.000503132,0.000503132
14,3906.34,0.98385,1.12175,1.23485,0.83562,0.77956,0.83225,0.61231,1.08948,1.37704,1.22285,0.000475643,0.000475643,0.000475643
15,4183.4,0.96878,1.11306,1.2287,0.89247,0.7413,0.83045,0.6482,1.01648,1.35042,1.13184,0.000448154,0.000448154,0.000448154
16,4455.41,0.97079,1.11084,1.22302,0.88735,0.7138,0.81758,0.5953,1.02565,1.39277,1.2045,0.000420665,0.000420665,0.000420665
17,4729.16,0.95847,1.07206,1.22464,0.80776,0.78689,0.82979,0.63763,0.91674,1.2666,1.10184,0.000393176,0.000393176,0.000393176
18,5002.24,0.93294,1.02892,1.19907,0.90999,0.79548,0.8884,0.67792,0.91795,1.06123,1.10038,0.000365687,0.000365687,0.000365687
19,5276.96,0.92672,0.97838,1.20282,0.95231,0.78377,0.87475,0.66318,0.98168,1.18657,1.13194,0.000338198,0.000338198,0.000338198
20,5567.55,0.88566,0.93621,1.17716,0.92481,0.82058,0.8728,0.66775,0.99557,1.12943,1.1501,0.000310709,0.000310709,0.000310709
21,5835.19,0.78652,0.90174,1.13597,0.89384,0.79645,0.85847,0.63833,0.99247,1.24733,1.22626,0.00028322,0.00028322,0.00028322
22,6083.32,0.77158,0.85045,1.12166,0.84891,0.81143,0.84482,0.66152,0.93004,1.17104,1.18648,0.000255731,0.000255731,0.000255731
23,6330.75,0.76191,0.80379,1.10234,0.82168,0.80792,0.87482,0.6753,0.88616,1.0792,1.06749,0.000228242,0.000228242,0.000228242
24,6590.62,0.71626,0.75004,1.09525,0.88824,0.82048,0.88181,0.68572,0.88309,1.02783,1.1363,0.000200753,0.000200753,0.000200753
25,6857.87,0.69168,0.71178,1.063,0.82734,0.87497,0.88456,0.69679,0.9155,1.06042,1.10909,0.000173264,0.000173264,0.000173264
26,7124.58,0.6635,0.69836,1.05506,0.91575,0.83392,0.88885,0.68236,0.91002,1.09034,1.12068,0.000145775,0.000145775,0.000145775
27,7394.55,0.65699,0.68548,1.04621,0.92343,0.819,0.90031,0.70947,0.8367,0.98233,1.08094,0.000118286,0.000118286,0.000118286
28,13498.3,0.65604,0.67686,1.04732,0.85301,0.84777,0.87828,0.70497,0.81117,0.96911,1.01651,9.0797e-05,9.0797e-05,9.0797e-05
29,13754.3,0.61609,0.63558,1.03593,0.92579,0.83593,0.89556,0.71314,0.77091,0.91501,1.01108,6.3308e-05,6.3308e-05,6.3308e-05
30,14002.8,0.61167,0.63125,1.02816,0.9171,0.80905,0.89573,0.72251,0.80972,0.93252,1.01016,3.5819e-05,3.5819e-05,3.5819e-05
