epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,56.2156,1.58665,0.76515,0.97727,0.88519,0.000298478,0.000298478,0.000298478
2,111.964,0.61942,0.87879,0.98485,0.53755,0.000589568,0.000589568,0.000589568
3,167.478,0.31198,0.90909,0.97727,0.29655,0.00086866,0.00086866,0.00086866
4,224.715,0.23564,0.88636,0.99242,0.41169,0.000855005,0.000855005,0.000855005
5,280.139,0.21316,0.89394,0.99242,0.58909,0.000837007,0.000837007,0.000837007
6,338.44,0.17492,0.87121,0.98485,0.35365,0.000819009,0.000819009,0.000819009
7,404.438,0.15244,0.90909,0.97727,0.29694,0.000801011,0.000801011,0.000801011
8,477.447,0.13198,0.92424,0.98485,0.21119,0.000783013,0.000783013,0.000783013
9,562.785,0.10421,0.89394,1,0.34295,0.000765014,0.000765014,0.000765014
10,642.856,0.10416,0.93939,0.97727,0.24995,0.000747016,0.000747016,0.000747016
11,721.199,0.10722,0.93182,0.98485,0.84388,0.000729018,0.000729018,0.000729018
12,789.883,0.09456,0.95455,0.98485,0.63363,0.00071102,0.00071102,0.00071102
13,861.531,0.07226,0.94697,0.97727,0.25348,0.000693022,0.000693022,0.000693022
14,930.988,0.05721,0.93939,0.9697,0.24521,0.000675023,0.000675023,0.000675023
15,994.507,0.06468,0.93182,0.9697,0.33326,0.000657025,0.000657025,0.000657025
16,1076.92,0.08142,0.91667,0.98485,0.30805,0.000639027,0.000639027,0.000639027
17,1148.17,0.08115,0.89394,0.98485,0.39255,0.000621029,0.000621029,0.000621029
18,1226.94,0.05447,0.92424,0.97727,0.36239,0.000603031,0.000603031,0.000603031
19,1287.23,0.04432,0.91667,0.97727,0.4495,0.000585032,0.000585032,0.000585032
20,1347.61,0.05058,0.92424,0.98485,0.68012,0.000567034,0.000567034,0.000567034
21,1406.27,0.0482,0.92424,0.98485,0.33572,0.000549036,0.000549036,0.000549036
22,1469.34,0.05766,0.90152,0.98485,0.28926,0.000531038,0.000531038,0.000531038
23,1527.23,0.04289,0.90909,0.97727,0.51588,0.00051304,0.00051304,0.00051304
24,1585.44,0.04233,0.91667,0.97727,0.29415,0.000495041,0.000495041,0.000495041
25,1643.18,0.03612,0.92424,0.97727,0.32114,0.000477043,0.000477043,0.000477043
26,1700.51,0.0388,0.90152,0.99242,0.5216,0.000459045,0.000459045,0.000459045
27,1758.04,0.03751,0.89394,0.98485,0.34369,0.000441047,0.000441047,0.000441047
28,1815.39,0.02818,0.91667,0.99242,0.47528,0.000423049,0.000423049,0.000423049
29,1872.46,0.04213,0.90909,0.99242,0.32359,0.00040505,0.00040505,0.00040505
30,1929.81,0.03642,0.90909,0.99242,0.87333,0.000387052,0.000387052,0.000387052
31,1983.64,0.03329,0.90152,0.99242,0.31542,0.000369054,0.000369054,0.000369054
32,2037.45,0.03565,0.88636,0.99242,0.35055,0.000351056,0.000351056,0.000351056
33,2091.87,0.04231,0.89394,0.99242,0.28538,0.000333058,0.000333058,0.000333058
34,2145.26,0.02843,0.90152,0.99242,0.32399,0.000315059,0.000315059,0.000315059
35,2198.56,0.03368,0.90909,0.99242,0.45113,0.000297061,0.000297061,0.000297061
36,2251.73,0.0317,0.92424,0.99242,0.34561,0.000279063,0.000279063,0.000279063
37,2304.85,0.03027,0.90909,0.99242,0.389,0.000261065,0.000261065,0.000261065
38,2360.02,0.0254,0.91667,0.99242,0.28058,0.000243067,0.000243067,0.000243067
39,2416.5,0.02219,0.90152,0.99242,0.373,0.000225068,0.000225068,0.000225068
40,2470.01,0.02609,0.89394,0.99242,0.31942,0.00020707,0.00020707,0.00020707
41,2522.99,0.01524,0.92424,0.99242,0.27558,0.000189072,0.000189072,0.000189072
42,2576.26,0.01989,0.91667,0.99242,0.27293,0.000171074,0.000171074,0.000171074
43,2629.12,0.02994,0.91667,0.99242,0.26168,0.000153076,0.000153076,0.000153076
44,2684.13,0.01705,0.92424,0.99242,0.3537,0.000135077,0.000135077,0.000135077
45,2737.96,0.02188,0.92424,0.99242,0.25222,0.000117079,0.000117079,0.000117079
46,2791.79,0.01657,0.91667,0.99242,0.25976,9.9081e-05,9.9081e-05,9.9081e-05
47,2845.31,0.02218,0.91667,0.99242,0.26366,8.10828e-05,8.10828e-05,8.10828e-05
48,2899.92,0.03217,0.92424,0.99242,0.2583,6.30846e-05,6.30846e-05,6.30846e-05
49,2953.79,0.02046,0.92424,0.99242,0.2576,4.50864e-05,4.50864e-05,4.50864e-05
50,3008.02,0.01108,0.91667,0.99242,0.25468,2.70882e-05,2.70882e-05,2.70882e-05
